session_id,lang,source,duration_s,n_segments,speech_s
as_in_s008,as_in,synthetic,45.0,11.5,35.767685
as_in_s009,as_in,synthetic,45.0,16.5,33.142120000000006
bn_in_s008,bn_in,synthetic,45.0,14.0,34.665448
bn_in_s009,bn_in,synthetic,45.0,16.0,33.130821000000005
gu_in_s008,gu_in,synthetic,45.0,16.0,34.377566499999986
gu_in_s009,gu_in,synthetic,45.0,17.0,32.258919500000005
hi_in_s008,hi_in,synthetic,45.0,13.5,35.503165
hi_in_s009,hi_in,synthetic,45.0,16.5,33.246332499999994
kn_in_s008,kn_in,synthetic,45.0,16.0,34.475868500000004
kn_in_s009,kn_in,synthetic,45.0,13.0,35.683186
ml_in_s008,ml_in,synthetic,45.0,11.5,35.1219655
ml_in_s009,ml_in,synthetic,45.0,15.0,33.6366675
mr_in_s008,mr_in,synthetic,45.0,15.5,34.36910900000001
mr_in_s009,mr_in,synthetic,45.0,17.5,32.378632
ne_np_s008,ne_np,synthetic,45.0,14.5,34.430082999999996
ne_np_s009,ne_np,synthetic,45.0,16.0,33.328893
or_in_s008,or_in,synthetic,45.0,12.5,34.467416
or_in_s009,or_in,synthetic,45.0,15.0,33.97686350000001
pa_in_s008,pa_in,synthetic,45.0,14.0,33.5070275
pa_in_s009,pa_in,synthetic,45.0,10.0,37.03231649999999
ta_in_s008,ta_in,synthetic,45.0,13.5,33.9970145
ta_in_s009,ta_in,synthetic,45.0,15.5,33.43344699999999
te_in_s008,te_in,synthetic,45.0,13.0,34.6391255
te_in_s009,te_in,synthetic,45.0,15.5,29.359276999999985
ur_pk_s008,ur_pk,synthetic,45.0,15.5,34.404943
real_hi_in_000,hi_in,real_indicvoices,5.729,3.0,4.5732195
real_hi_in_001,hi_in,real_indicvoices,2.808,2.0,2.2176095
real_hi_in_002,hi_in,real_indicvoices,9.619,7.0,4.9876439999999995
real_hi_in_003,hi_in,real_indicvoices,8.653,4.0,6.988572500000001
real_hi_in_004,hi_in,real_indicvoices,1.128,1.0,1.128
real_hi_in_005,hi_in,real_indicvoices,1.6,1.0,1.5600375
real_hi_in_006,hi_in,real_indicvoices,2.338,1.5,2.1596455
real_hi_in_007,hi_in,real_indicvoices,10.748,2.5,9.596072499999998
real_hi_in_008,hi_in,real_indicvoices,9.273,5.0,7.4525380000000006
real_hi_in_009,hi_in,real_indicvoices,5.026,3.0,4.105840499999999
real_hi_in_010,hi_in,real_indicvoices,6.208,4.0,5.1196025
real_hi_in_011,hi_in,real_indicvoices,5.492,3.0,3.86748
real_hi_in_012,hi_in,real_indicvoices,6.754,3.5,5.586736499999999
real_bn_in_000,bn_in,real_indicvoices,3.456,1.5,2.9076440000000003
real_bn_in_001,bn_in,real_indicvoices,7.936,5.0,6.377015999999999
real_bn_in_002,bn_in,real_indicvoices,6.6101875,1.5,6.0013845
real_bn_in_003,bn_in,real_indicvoices,10.868,4.0,8.8408965
real_bn_in_004,bn_in,real_indicvoices,15.233,8.5,11.9896235
real_bn_in_005,bn_in,real_indicvoices,4.253,1.0,4.152302000000001
real_bn_in_006,bn_in,real_indicvoices,8.499,3.0,7.450775500000001
real_bn_in_007,bn_in,real_indicvoices,17.031,7.5,14.957982000000001
real_bn_in_008,bn_in,real_indicvoices,14.848,3.5,13.931401
real_mr_in_000,mr_in,real_indicvoices,17.865,7.5,15.541125999999998
real_mr_in_001,mr_in,real_indicvoices,5.193,1.5,4.426330999999999
real_mr_in_002,mr_in,real_indicvoices,1.703,1.5,0.6755740000000001
real_mr_in_003,mr_in,real_indicvoices,1.978,1.5,1.8853505
real_mr_in_004,mr_in,real_indicvoices,2.177,2.5,1.8268115
real_mr_in_005,mr_in,real_indicvoices,4.675,2.5,3.5373659999999996
