system,lang,family,mean,ci_lo,ci_hi,n
energy,as_in,Indo-Aryan,0.5395062682200906,0.5172485365993543,0.5619306222351768,720
energy,bn_in,Indo-Aryan,0.4424689901222795,0.42978822379849624,0.455344555392427,720
energy,gu_in,Indo-Aryan,0.4390216327790414,0.4261460131726985,0.451649783606782,720
energy,hi_in,Indo-Aryan,0.5373755259002354,0.5188314600344629,0.5575746644434484,720
energy,kn_in,Dravidian,0.4626423856734237,0.44718554902900626,0.478957844789355,720
energy,ml_in,Dravidian,0.4859778028769616,0.4648480568648913,0.5069554067032697,720
energy,mr_in,Indo-Aryan,0.7074253890333815,0.6648993625012769,0.7433375553879722,720
energy,ne_np,Indo-Aryan,0.5241309613176934,0.5092548722407313,0.5402979622068299,720
energy,or_in,Indo-Aryan,0.6255678519620672,0.5973940290494828,0.655800753541931,720
energy,pa_in,Indo-Aryan,0.5274992238069794,0.514035197831884,0.5415147272288966,720
energy,ta_in,Dravidian,0.528946252683581,0.5069470662909802,0.5497744265298167,720
energy,te_in,Dravidian,0.5029057913522599,0.48671918966615413,0.519884745655948,720
energy,ur_pk,Indo-Aryan,0.38047839757506957,0.3712038822223248,0.3898796034729021,720
ltsd,as_in,Indo-Aryan,0.5810074204908344,0.5596721086191676,0.6043345680322567,720
ltsd,bn_in,Indo-Aryan,0.4532649597946386,0.43935004316419723,0.4665199800705934,720
ltsd,gu_in,Indo-Aryan,0.48654183825135927,0.46889751222410825,0.5056635527654855,720
ltsd,hi_in,Indo-Aryan,0.619271595904936,0.6005249550609008,0.6371096174100547,720
ltsd,kn_in,Dravidian,0.5172084447877897,0.5031176866259742,0.5324783005145381,720
ltsd,ml_in,Dravidian,0.4553990893284394,0.43414032010592885,0.4819863284992928,720
ltsd,mr_in,Indo-Aryan,0.7158473574838761,0.6742828416551478,0.7548500442274646,720
ltsd,ne_np,Indo-Aryan,0.6329405424075708,0.6032033901320505,0.6623888844206781,720
ltsd,or_in,Indo-Aryan,0.6602633041839239,0.631205029283019,0.6885053354608623,720
ltsd,pa_in,Indo-Aryan,0.5074136650422069,0.49098921239224885,0.5256999847353767,720
ltsd,ta_in,Dravidian,0.6381131833446209,0.6170128074846231,0.6609989723620777,720
ltsd,te_in,Dravidian,0.5151802569007005,0.49479829348598203,0.5363722355915777,720
ltsd,ur_pk,Indo-Aryan,0.4012015115309807,0.3854615554479262,0.4174877619329967,720
silero,as_in,Indo-Aryan,0.20860097699855606,0.18578406860542437,0.23120134874554615,720
silero,bn_in,Indo-Aryan,0.17044542262554876,0.16160439174599037,0.17931861761639484,720
silero,gu_in,Indo-Aryan,0.15903398572350236,0.1485379196165145,0.17021914640222127,720
silero,hi_in,Indo-Aryan,0.24248667508947203,0.21601068420037184,0.2696893405669122,720
silero,kn_in,Dravidian,0.31697944849152315,0.2952146618796959,0.3404226718030998,720
silero,ml_in,Dravidian,0.22332461808982426,0.2043151863339783,0.24625630809043703,720
silero,mr_in,Indo-Aryan,0.4724035445401815,0.4456114436790499,0.49941997827449336,720
silero,ne_np,Indo-Aryan,0.21001491216408988,0.18998039296411592,0.22843920950168564,720
silero,or_in,Indo-Aryan,0.5167175936539665,0.48917321726084384,0.5459464488559845,720
silero,pa_in,Indo-Aryan,0.19990241887827354,0.18271072761625265,0.2169058435086092,720
silero,ta_in,Dravidian,0.3088816952415238,0.27632900143460587,0.3418190388149375,720
silero,te_in,Dravidian,0.22201214485296525,0.2037635497368363,0.24180306148081956,720
silero,ur_pk,Indo-Aryan,0.1492323755924884,0.13803030050126863,0.1599236510281281,720
webrtc,as_in,Indo-Aryan,0.4368296379271088,0.4176930647856089,0.45785068188063993,720
webrtc,bn_in,Indo-Aryan,0.40466433813690467,0.3902249944972024,0.4189747828226746,720
webrtc,gu_in,Indo-Aryan,0.39095738082680703,0.37474631647226825,0.40780386065563995,720
webrtc,hi_in,Indo-Aryan,0.4375278405603568,0.41667204584133516,0.4584039020936021,720
webrtc,kn_in,Dravidian,0.310739452675515,0.29094024882447483,0.3305908964304955,720
webrtc,ml_in,Dravidian,0.4002188111057038,0.3822224465029611,0.4205147612641395,720
webrtc,mr_in,Indo-Aryan,0.4758955735566829,0.4414731827460973,0.5070380715336572,720
webrtc,ne_np,Indo-Aryan,0.3622040591421767,0.34442373115368713,0.3799963975396014,720
webrtc,or_in,Indo-Aryan,0.5596177015891983,0.5390144937233555,0.5788597957083923,720
webrtc,pa_in,Indo-Aryan,0.23026852472315298,0.21267999649981606,0.24757228964884406,720
webrtc,ta_in,Dravidian,0.38769039514598647,0.3595599565994482,0.41707257935492276,720
webrtc,te_in,Dravidian,0.425733710057653,0.40690120273848346,0.4475190304428232,720
webrtc,ur_pk,Indo-Aryan,0.3816733989670242,0.36620833855698004,0.3980524112159767,720
