term,coef,se,pvalue
Intercept,-0.3066098039985699,0.024793429753008366,3.9636608335706314e-35
C(lang)[T.bn_in],-0.316272190251477,0.022030883568262747,9.790923430033466e-47
C(lang)[T.gu_in],-0.3046847127191538,0.022030883568262747,1.6827590440368445e-43
C(lang)[T.hi_in],0.14056193810858586,0.022030883568262747,1.76830925552147e-10
C(lang)[T.kn_in],-0.01457025099930341,0.022030883568262744,0.508384211846975
C(lang)[T.ml_in],-0.20570497041884098,0.022030883568262744,9.899145299203824e-21
C(lang)[T.mr_in],0.6157611738062077,0.022030883568262747,6.609247943696064e-172
C(lang)[T.ne_np],0.01934898054004678,0.022030883568262747,0.3797992702881713
C(lang)[T.or_in],0.6891974438720367,0.022030883568262744,7.887764879282828e-215
C(lang)[T.pa_in],-0.19940342243553438,0.022030883568262754,1.4155337308417172e-19
C(lang)[T.ta_in],0.21772590834085606,0.02203088356826275,4.945234766816742e-23
C(lang)[T.te_in],-0.027004250452117254,0.022030883568262744,0.22029456362033795
C(lang)[T.ur_pk],-0.5058793252797615,0.022030883568262747,1.1109094480882798e-116
C(noise)[T.isotropic],-0.3881970124233965,0.010583294137442209,1.5126554164949182e-294
C(noise)[T.pointsource],-0.48754253445379053,0.010583294137442209,0.0
C(reverb)[T.rir],0.0974493188117576,0.00864122347817401,1.6995847490042146e-29
snr_db,-0.04845876815199909,0.0005059782373628792,0.0
Group Var,0.008631351101397785,0.002802226732418215,0.0020687841107429423
