system,lang,snr_db,deter,p_miss,p_fa,auc
energy,as_in,-5,0.6398278311795257,0.5475327842132628,0.2828268779881727,0.6110641886187594
energy,as_in,0,0.6225707560068638,0.5712613965081077,0.15616433084760276,0.6802225462856182
energy,as_in,5,0.6131011211903541,0.592390764905992,0.06304610602652067,0.7376506494409439
energy,as_in,10,0.542009764877401,0.5254077175366211,0.05100347112274491,0.7968997694790497
energy,as_in,15,0.47020172028858,0.45813618015790997,0.03561912712925683,0.844015116023128
energy,as_in,20,0.34932641577781925,0.33536570756599016,0.041573325643802124,0.8946099556867959
energy,bn_in,-5,0.6023696556088112,0.5029585154322082,0.2808895391230353,0.6368414587151426
energy,bn_in,0,0.5362527634076376,0.4749630761553038,0.17255894322962848,0.720429820621535
energy,bn_in,5,0.4949005379424489,0.46845634564023914,0.07424303024462597,0.7886528238765119
energy,bn_in,10,0.410160924238996,0.3891879165833555,0.058922394771489146,0.8416516213625438
energy,bn_in,15,0.3483004439104061,0.3349294158235161,0.0376302461466051,0.8794031636324462
energy,bn_in,20,0.262829615625377,0.24518276788241017,0.049480834370136326,0.9131279649304527
energy,gu_in,-5,0.6160927791153943,0.5258937028924399,0.2732909165792193,0.6301688777501087
energy,gu_in,0,0.5499249559526848,0.4915337903145207,0.17467611113376658,0.7132175148717877
energy,gu_in,5,0.4938210224408678,0.46960401923708667,0.07352834800268924,0.7946102724503763
energy,gu_in,10,0.3998382395970475,0.3821217219547872,0.05303126358433441,0.8500466766876799
energy,gu_in,15,0.3298990454428716,0.31704766813983626,0.039062043986596226,0.8850262075675386
energy,gu_in,20,0.24455375412538263,0.23022952119604748,0.04200467027886476,0.9197540144277017
energy,hi_in,-5,0.6273395557242718,0.5362252374276176,0.28513520576507034,0.6126291588998267
energy,hi_in,0,0.59563810712341,0.5415357238921156,0.1699007093297927,0.6819817299071977
energy,hi_in,5,0.5843003526563729,0.5615190866191578,0.070655181250391,0.7338940198314255
energy,hi_in,10,0.5241013243268958,0.5056189563853793,0.05647259744636413,0.7772780923853703
energy,hi_in,15,0.48419088944138355,0.4729612308802059,0.035598368641558735,0.8118709676716038
energy,hi_in,20,0.4086829261290783,0.3963330995771457,0.03796698909938508,0.8498948141339063
energy,kn_in,-5,0.6087271572463547,0.5052017477870399,0.28511859716949756,0.6313429092980913
energy,kn_in,0,0.5428797710387332,0.47524814334432025,0.1832399363224932,0.7098725573951558
energy,kn_in,5,0.4961115158086226,0.4632825078177696,0.0892233024403139,0.7728565106486669
energy,kn_in,10,0.42345553166905747,0.39465860984601064,0.0806074061128584,0.8111537349687276
energy,kn_in,15,0.3741113570447151,0.3548037869100043,0.0523958319990137,0.835179095618424
energy,kn_in,20,0.3305689812330591,0.3098047168141187,0.055203967716094725,0.8502271869035867
energy,ml_in,-5,0.6190054254693504,0.5173821965800621,0.2806064519464648,0.6281889257097604
energy,ml_in,0,0.5806120312444016,0.5188338498273588,0.16946916227250275,0.6983870028758656
energy,ml_in,5,0.5567559659138817,0.5287038458437973,0.07586259664971785,0.7620778214080006
energy,ml_in,10,0.46574770400739474,0.44425323587339577,0.0598420530023706,0.8213745563773374
energy,ml_in,15,0.39953428410013775,0.38429743410895695,0.041378281651844415,0.8671220561846862
energy,ml_in,20,0.2942114065266034,0.27619310923811285,0.05058192944274731,0.9062108558856252
energy,mr_in,-5,0.6741664723502001,0.573530910024449,0.29138173166788156,0.5819134345738455
energy,mr_in,0,0.7055525595366063,0.6498378992179055,0.16335125620520868,0.61071182342806
energy,mr_in,5,0.7343892659685082,0.709369717620365,0.0724607823927468,0.6282638065481131
energy,mr_in,10,0.7128967144452644,0.6900677292743608,0.06712837825219617,0.6459149157678592
energy,mr_in,15,0.7239944269684108,0.7126638936622286,0.03418988031956865,0.6553346489889271
energy,mr_in,20,0.693552894931299,0.680834074504484,0.037031926799962256,0.6870419290858422
energy,ne_np,-5,0.624334696951035,0.5289098685388014,0.28316271727502873,0.6214917367091926
energy,ne_np,0,0.5953897380947198,0.5394706523393078,0.16518702942149371,0.6879565682261695
energy,ne_np,5,0.5810745289499349,0.5566082870551783,0.07074302238496659,0.7447011591889171
energy,ne_np,10,0.5109268423936183,0.49157461315090667,0.057596166140577346,0.7938751973919685
energy,ne_np,15,0.4610645263478596,0.44799425436621804,0.03936957734429166,0.827804340128136
energy,ne_np,20,0.37199543516899336,0.35600163567493376,0.047789753919294825,0.8658896581081429
energy,or_in,-5,0.6458747306349047,0.5523287205656625,0.3021402128247803,0.5888138243319372
energy,or_in,0,0.6425253552285556,0.5830061818691087,0.19251153274589544,0.6350197009197919
energy,or_in,5,0.6513015127810777,0.6226273025708814,0.09144705744846154,0.6675406427943243
energy,or_in,10,0.6162900484162529,0.5918079685702272,0.08033492303144961,0.6897169466429574
energy,or_in,15,0.6099763086190333,0.5921049925801093,0.05841161533828512,0.696190226957609
energy,or_in,20,0.5874391560925794,0.5690621478357027,0.05712419497612535,0.709362307615536
energy,pa_in,-5,0.6005448727293609,0.5136897437244524,0.28279956273751916,0.626450666237719
energy,pa_in,0,0.592116055929304,0.5398187001087856,0.16826280385321882,0.682237941821148
energy,pa_in,5,0.5834586998756315,0.5620422184174821,0.06890390915108036,0.7355744467459222
energy,pa_in,10,0.5208935118088432,0.5035386035004427,0.055704426919786984,0.7800819491264549
energy,pa_in,15,0.4724301393155764,0.46073178160288236,0.036762845238561534,0.8140346373934533
energy,pa_in,20,0.39555206318316116,0.3818763485028235,0.042812941689290875,0.8485173804100798
energy,ta_in,-5,0.6363073399471776,0.5473156903730705,0.28599983312499044,0.6057735280211347
energy,ta_in,0,0.5965181859950862,0.5391448753944295,0.18258382695057473,0.6755608919216008
energy,ta_in,5,0.5794898742653622,0.5539243166995548,0.08196634248275017,0.7342184748360425
energy,ta_in,10,0.5141430871980671,0.4946008790386865,0.06281641485247867,0.7795009740371079
energy,ta_in,15,0.4568734859391369,0.4443421616293145,0.040714410932930496,0.8150703431149326
energy,ta_in,20,0.3903455427566557,0.37495136942967,0.04677520968007269,0.8432850309223632
energy,te_in,-5,0.6118077304472034,0.5260629139077835,0.27891223026588324,0.62361678246186
energy,te_in,0,0.568760018505819,0.5163966756756921,0.17083565579224422,0.6962606933791975
energy,te_in,5,0.5466934597730497,0.5246792358448129,0.0707781226004361,0.7555929570549
energy,te_in,10,0.49183306410682237,0.4754392686100009,0.052504857366369874,0.7994504496655832
energy,te_in,15,0.4422783659645796,0.43196981851047506,0.03310766103468884,0.8370923704124239
energy,te_in,20,0.356062109316085,0.34446057560011817,0.036785275733074,0.8833664406313224
energy,ur_pk,-5,0.5949610287379071,0.5039461025495622,0.2726111911260632,0.6444749501483559
energy,ur_pk,0,0.4830113718542291,0.42826663078544674,0.16347295336756376,0.7523127448028372
energy,ur_pk,5,0.41383336728670816,0.3881079902687936,0.07464958031310778,0.8280920980679226
energy,ur_pk,10,0.32917407016780886,0.31098293351555945,0.05384430820849321,0.8733042728277032
energy,ur_pk,15,0.26656452142516823,0.2548168672896942,0.03521884488124758,0.9091101061838948
energy,ur_pk,20,0.19532602597859616,0.1824081572888364,0.03937525139785098,0.9359905539515828
ltsd,as_in,-5,0.7401777593942799,0.6759714314323834,0.19439034918256537,0.6016942720709008
ltsd,as_in,0,0.6831073505383761,0.6352657520661101,0.14614649189132323,0.6654538254381968
ltsd,as_in,5,0.6491225849655774,0.6135484239461104,0.10788150451188239,0.7047529798025245
ltsd,as_in,10,0.5622453910259129,0.5260254587154656,0.11247640932163445,0.7624142764121611
ltsd,as_in,15,0.47554650075267957,0.44092010085057515,0.10382538691979032,0.8208588076057431
ltsd,as_in,20,0.37584493626818044,0.34051155496861035,0.10855648651814223,0.8678945625108125
ltsd,bn_in,-5,0.6837418526648317,0.6216763252366901,0.17528054930793655,0.6539119483380752
ltsd,bn_in,0,0.5840935935214422,0.5341181778799429,0.1410978579897317,0.7297706366522736
ltsd,bn_in,5,0.5321896204291382,0.49448949322407726,0.10551886515966073,0.7827243446698414
ltsd,bn_in,10,0.4050363045217477,0.3649644556652116,0.11383980478832086,0.8444378219436622
ltsd,bn_in,15,0.30457400709515486,0.2676770659526359,0.10449054503877077,0.8931075354100141
ltsd,bn_in,20,0.20995438053551702,0.169552034013278,0.11524013334569468,0.9221350100620818
ltsd,gu_in,-5,0.6930740639903431,0.6458159794576331,0.1446299322415125,0.6619829967911673
ltsd,gu_in,0,0.618055495958098,0.5841137160157821,0.10290420042015351,0.7310630689692111
ltsd,gu_in,5,0.5700983612308016,0.5415385907705327,0.08651400821924422,0.7762056952571312
ltsd,gu_in,10,0.4457470855254142,0.41500972838087324,0.09392095275139586,0.8378124301619979
ltsd,gu_in,15,0.33832785062553117,0.30477179792723214,0.1015696317850606,0.8857489174102903
