system,factor,df,ss,partial_eta2,omega2,F
energy,lang,12,745.1056544051521,0.3508590771038294,0.22162082254532997,420.64221669742153
energy,snr_db,5,851.0782450796919,0.3817121970956018,0.2535240066246042,1153.1232516411221
energy,noise,2,377.8450304236344,0.21512468749705138,0.11256429055570816,1279.8526240608537
energy,reverb,1,1.3498559271076829,0.0009782238375488444,0.0003584418609956733,9.144577862918485
energy,residual,9339,1378.5551057941734,,0.411008231019486,
ltsd,lang,12,1166.9407098365582,0.2969219349659296,0.19862016897652693,328.66833340339934
ltsd,snr_db,5,1509.234480061889,0.35325048807975207,0.257411978565465,1020.1805327635446
ltsd,noise,2,414.11607188612425,0.13033577358975879,0.07059907366169095,699.8136479518548
ltsd,reverb,1,3.5890974152021045,0.0012972134713582124,0.0005622363009180428,12.13041234331923
ltsd,residual,9339,2763.185604241447,,0.47174575858595447,
silero,lang,12,2990.7946993107707,0.3932141787879616,0.29429724420839753,504.3277610384279
silero,snr_db,5,1678.0869334876106,0.2666460859813794,0.1652099044250619,679.1285215440666
silero,noise,2,659.4573097672474,0.12502313880632288,0.0649227448505344,667.2125544665128
silero,reverb,1,198.28796971266456,0.04119402616169494,0.019501778377386987,401.2396885513642
silero,residual,9339,4615.224769594339,,0.4550450979152309,
webrtc,lang,12,802.0988637973715,0.130983924752284,0.08357983880092136,117.30305381221766
webrtc,snr_db,5,2783.7903467233427,0.3434516082423936,0.29226959794943674,977.077884781386
webrtc,noise,2,604.0309125616022,0.10193624301628122,0.0633622843236935,530.0194814265894
webrtc,reverb,1,2.951785687044321,0.0005543783739540362,0.000250338366126488,5.180211431546903
webrtc,residual,9339,5321.544669669014,,0.5592803233854894,
