system,lang,family,deter_global,deter_perlang,deter_oracle,gap_global_oracle,gap_closed_frac,rel_improvement,n_dev_sessions,overfit_flag,global_threshold,global_min_speech_s,global_min_silence_s,global_pad_s,best_threshold,best_min_speech_s,best_min_silence_s,best_pad_s,oracle_threshold,oracle_min_silence_s
energy,as_in,Indo-Aryan,0.23300704550704557,0.23300704550704557,0.23208632583632607,0.0009207196707194942,0.0,0.0,8,False,0.2,0.0,0.35,0.0,0.2,0.0,0.35,0.0,0.2,0.35
energy,bn_in,Indo-Aryan,0.1843792602661032,0.1692260289027238,0.1692260289027238,0.015153231363379399,1.0,0.08218511855134723,8,False,0.2,0.0,0.35,0.0,0.2,0.05,0.2,0.0,0.2,0.2
energy,gu_in,Indo-Aryan,0.1671723925969936,0.1502731317450822,0.1502333890393589,0.016939003557634696,0.9976537754663035,0.10108882566902566,8,False,0.2,0.0,0.35,0.0,0.2,0.2,0.2,0.0,0.2,0.2
energy,hi_in,Indo-Aryan,0.2794368533082628,0.2794368533082628,0.27611657485118524,0.0033202784570775523,0.0,0.0,8,False,0.2,0.0,0.35,0.0,0.2,0.0,0.35,0.0,0.2,0.35
energy,kn_in,Dravidian,0.29031745204865894,0.27733332972512864,0.27733332972512864,0.0129841223235303,1.0,0.04472387805798903,8,False,0.2,0.0,0.35,0.0,0.2,0.0,0.2,0.0,0.2,0.2
energy,ml_in,Dravidian,0.24470480280770762,0.2503287326528488,0.24470480280770762,0.0,,-0.022982507006862926,8,True,0.2,0.0,0.35,0.0,0.2,0.0,0.2,0.0,0.2,0.35
energy,mr_in,Indo-Aryan,0.5270893944961538,0.50124161831783,0.501195095557075,0.025894298939078797,0.9982033589376387,0.049038695235049744,8,False,0.2,0.0,0.35,0.0,0.2,0.0,0.5,0.2,0.2,0.05
energy,ne_np,Indo-Aryan,0.22030125586512989,0.22030125586512989,0.22030125586512989,0.0,,0.0,8,False,0.2,0.0,0.35,0.0,0.2,0.0,0.35,0.0,0.2,0.35
energy,or_in,Indo-Aryan,0.46733364470862,0.4601796235316212,0.4601796235316212,0.007154021176998815,1.0,0.015308166356092997,8,False,0.2,0.0,0.35,0.0,0.2,0.0,0.05,0.2,0.2,0.05
energy,pa_in,Indo-Aryan,0.21718119129037594,0.21718119129037594,0.21127160411173374,0.005909587178642206,0.0,0.0,8,False,0.2,0.0,0.35,0.0,0.2,0.0,0.35,0.0,0.2,0.5
