session_id,lang,source,cohen_kappa,onset_mad_s,offset_mad_s,n_segments_a,n_segments_b,speech_s_a,speech_s_b,n_ambiguous_labels_a,n_ambiguous_labels_b
as_in_s008,as_in,synthetic,0.8458404540002403,0.040000000000000036,0.040000000000000036,9,14,36.900082,34.635288,0,0
as_in_s009,as_in,synthetic,0.9035078236693975,0.030000000000001137,0.04500000000000082,16,17,33.984672,32.299568,1,0
bn_in_s008,bn_in,synthetic,0.8760311605626041,0.030000000000001137,0.03500000000000014,12,16,35.649269,33.681627000000006,0,0
bn_in_s009,bn_in,synthetic,0.9891144427282186,0.0,0.00999999999999801,16,16,33.17539500000001,33.086247,0,0
gu_in_s008,gu_in,synthetic,0.8546511627906977,0.030000000000001137,0.060000000000000275,14,18,35.550789,33.20434399999998,1,0
gu_in_s009,gu_in,synthetic,0.9819221403017214,0.0,0.0,17,17,32.10549100000001,32.412347999999994,0,0
hi_in_s008,hi_in,synthetic,0.9319495922905858,0.019999999999999574,0.009999999999998899,12,15,36.011198,34.995132000000005,0,0
hi_in_s009,hi_in,synthetic,0.9602621647688065,0.019999999999999796,0.00999999999999801,16,17,33.56822899999999,32.92443600000001,0,0
kn_in_s008,kn_in,synthetic,0.8609642557983054,0.040000000000000924,0.03500000000000014,14,18,35.607881,33.343856,0,0
kn_in_s009,kn_in,synthetic,0.8358551742772222,0.0400000000000027,0.030000000000001137,13,13,36.90867,34.457702,0,0
ml_in_s008,ml_in,synthetic,0.8450171284773564,0.020000000000003126,0.024999999999996803,8,15,36.344966,33.898965000000004,0,0
ml_in_s009,ml_in,synthetic,0.8540802610865006,0.030000000000001137,0.030000000000001137,14,16,33.81688400000001,33.456450999999994,0,0
mr_in_s008,mr_in,synthetic,0.839380824658899,0.030000000000001137,0.060000000000002274,13,18,35.668818,33.06940000000001,0,0
mr_in_s009,mr_in,synthetic,0.9071759066002874,0.030000000000001137,0.040000000000000924,17,18,33.225141,31.53212300000001,1,0
ne_np_s008,ne_np,synthetic,0.9697153989161823,0.0,0.010000000000000009,14,15,34.470608999999996,34.389557,0,0
ne_np_s009,ne_np,synthetic,0.8856248247787719,0.03999999999999915,0.060000000000002274,15,17,34.321065,32.336721000000004,0,0
or_in_s008,or_in,synthetic,0.8696024047541357,0.04999999999999982,0.07000000000000028,11,14,35.467491,33.467341000000005,0,0
or_in_s009,or_in,synthetic,0.8980495071593234,0.03999999999999915,0.05000000000000071,15,15,34.836800000000004,33.116927000000004,0,0
pa_in_s008,pa_in,synthetic,0.6958204997132708,0.049999999999998934,0.05999999999999961,11,17,33.360849,33.653206,1,0
pa_in_s009,pa_in,synthetic,0.8666012123281824,0.030000000000001137,0.049999999999998934,9,11,37.915693999999995,36.148939,0,0
ta_in_s008,ta_in,synthetic,0.7971980839130539,0.03999999999999915,0.04499999999999815,12,15,33.97539,34.018639,1,0
ta_in_s009,ta_in,synthetic,0.9679607668910837,0.0,0.00999999999999801,15,16,33.516193,33.35070099999998,0,0
te_in_s008,te_in,synthetic,0.8792677495174881,0.030000000000001137,0.04999999999999982,11,15,35.60894999999999,33.669301000000004,1,0
te_in_s009,te_in,synthetic,0.5839983808281859,0.029999999999998472,0.060000000000002274,14,17,26.366359999999993,32.352193999999976,0,0
ur_pk_s008,ur_pk,synthetic,0.8551191242755958,0.02999999999999936,0.0400000000000027,13,18,35.59541800000001,33.214468,0,0
real_hi_in_000,hi_in,real_indicvoices,0.6325375158033603,0.030000000000000027,0.015000000000000013,2,4,4.932798,4.213641,0,0
real_hi_in_001,hi_in,real_indicvoices,0.9785479807618903,0.0050000000000000044,0.004999999999999949,2,2,2.2285719999999998,2.206647,0,0
real_hi_in_002,hi_in,real_indicvoices,0.7441064687331089,0.014999999999999902,0.02000000000000024,8,6,5.607876,4.367412,0,0
real_hi_in_003,hi_in,real_indicvoices,0.746000740485401,0.0,0.0,3,5,7.335076000000002,6.642069,0,0
real_hi_in_004,hi_in,real_indicvoices,,0.0,0.0,1,1,1.128,1.128,0,0
real_hi_in_005,hi_in,real_indicvoices,0.0,0.0,0.08000000000000007,1,1,1.520075,1.6,0,0
real_hi_in_006,hi_in,real_indicvoices,0.0,0.0,0.0,1,2,2.338,1.9812910000000001,0,0
real_hi_in_007,hi_in,real_indicvoices,0.8584363746997304,0.0,0.015000000000000124,2,3,9.717265999999999,9.474879,0,0
real_hi_in_008,hi_in,real_indicvoices,0.9519553982615392,0.0,0.010000000000000675,5,5,7.512956000000001,7.39212,0,0
real_hi_in_009,hi_in,real_indicvoices,0.9866976965593842,0.0,0.0,3,3,4.119771999999999,4.091909,0,0
real_hi_in_010,hi_in,real_indicvoices,0.7185125274412733,0.019999999999999796,0.010000000000000231,4,4,5.365818,4.873387,0,0
real_hi_in_011,hi_in,real_indicvoices,0.9868887172914493,0.009999999999999787,0.0,3,3,3.8833589999999996,3.8516010000000005,0,0
real_hi_in_012,hi_in,real_indicvoices,0.7683826052477069,0.010000000000000009,0.020000000000000462,3,4,5.815906999999999,5.357565999999999,0,0
real_bn_in_000,bn_in,real_indicvoices,0.29102763117044417,0.03,0.22999999999999998,1,2,3.014288,2.801,0,0
real_bn_in_001,bn_in,real_indicvoices,0.9760672768740768,0.0,0.010000000000000009,5,5,6.373824,6.380208,0,0
real_bn_in_002,bn_in,real_indicvoices,0.7915255399382928,0.0,0.009999999999999787,1,2,6.121634,5.8811350000000004,0,0
real_bn_in_003,bn_in,real_indicvoices,0.9788402016702031,0.009999999999999787,0.004999999999999893,4,4,8.869864,8.811929000000001,0,0
real_bn_in_004,bn_in,real_indicvoices,0.80775032290887,0.009999999999999787,0.010000000000000675,9,8,11.508265,12.470982,1,0
real_bn_in_005,bn_in,real_indicvoices,0.0,0.0,0.20000000000000018,1,1,4.051604,4.253,0,0
real_bn_in_006,bn_in,real_indicvoices,0.9131423316174687,0.009999999999999787,0.0,3,3,7.371093000000001,7.530458,0,0
real_bn_in_007,bn_in,real_indicvoices,0.7020035579923593,0.004999999999999893,0.01999999999999913,7,8,13.879128000000003,16.036836,1,0
real_bn_in_008,bn_in,real_indicvoices,0.3905881450514891,0.0,0.10500000000000043,2,5,14.463156,13.399645999999999,0,0
real_mr_in_000,mr_in,real_indicvoices,0.5685861543931456,0.0,0.07000000000000028,6,9,16.436543999999998,14.645707999999999,0,0
real_mr_in_001,mr_in,real_indicvoices,0.7340993925199445,0.0,0.03000000000000025,1,2,4.604017,4.248645,0,0
real_mr_in_002,mr_in,real_indicvoices,0.4334154470366612,0.0,0.23000000000000004,1,2,0.674749,0.6763990000000002,0,0
real_mr_in_003,mr_in,real_indicvoices,0.0,0.0,0.0,2,1,1.795367,1.975334,0,0
real_mr_in_004,mr_in,real_indicvoices,0.5921421889616464,0.029999999999999916,0.8300000000000002,3,2,1.862924,1.790699,0,0
real_mr_in_005,mr_in,real_indicvoices,0.4897918731417245,0.015000000000000013,0.2149999999999999,3,2,3.5528139999999997,3.5219179999999994,0,0
real_mr_in_006,mr_in,real_indicvoices,0.8876663708961847,0.0,0.010000000000000231,3,3,5.319551,5.459509,0,0
real_mr_in_007,mr_in,real_indicvoices,,0.0,0.0,1,1,1.655,1.655,0,0
real_mr_in_008,mr_in,real_indicvoices,,0.0,0.0,1,1,1.944,1.944,0,0
real_mr_in_009,mr_in,real_indicvoices,0.8024776324845149,0.015000000000000124,0.08999999999999997,2,2,1.801645,1.5850299999999997,0,0
real_mr_in_010,mr_in,real_indicvoices,0.0,0.63,0.0,1,1,0.903883,1.536,0,0
real_mr_in_011,mr_in,real_indicvoices,,0.0,0.0,1,1,3.104,3.104,0,0
real_mr_in_012,mr_in,real_indicvoices,,0.0,0.0,1,1,1.809,1.809,0,0
real_mr_in_013,mr_in,real_indicvoices,0.8975301256302879,0.025000000000000022,0.030000000000000027,2,2,1.2879620000000003,1.1728020000000001,0,0
real_mr_in_014,mr_in,real_indicvoices,,0.0,0.0,1,1,2.057,2.057,0,0
real_mr_in_015,mr_in,real_indicvoices,,0.0,0.0,1,1,1.048,1.048,0,0
real_mr_in_016,mr_in,real_indicvoices,0.0,0.0,0.0,3,2,5.152,4.3916699999999995,0,0
real_mr_in_017,mr_in,real_indicvoices,0.6866101607377522,0.1200000000000001,0.04999999999999982,3,4,9.64424,9.185201,0,0
real_mr_in_018,mr_in,real_indicvoices,0.7127043377526066,0.030000000000000027,0.0,1,2,1.155996,1.3261290000000001,0,0
real_gu_in_000,gu_in,real_indicvoices,0.7621371066113686,0.0,0.14999999999999997,1,1,0.590787,0.441672,0,0
real_gu_in_001,gu_in,real_indicvoices,0.0,0.0,0.7600000000000016,9,1,14.350983999999999,17.305,3,0
real_gu_in_002,gu_in,real_indicvoices,0.5769740914316033,0.019999999999999962,0.21000000000000002,2,2,1.3276150000000002,0.874007,0,0
real_gu_in_003,gu_in,real_indicvoices,0.9308386234547275,0.0,0.015000000000000013,2,2,6.011786,5.962599000000001,0,0
real_gu_in_004,gu_in,real_indicvoices,0.735805710534952,0.020000000000000018,0.1549999999999998,2,2,8.994534,8.897064,0,0
real_gu_in_005,gu_in,real_indicvoices,0.0,0.0,0.0,1,3,6.303,5.765706999999999,0,0
real_gu_in_006,gu_in,real_indicvoices,0.7007725136405379,0.029999999999999805,0.19999999999999973,3,3,4.81068,4.2269369999999995,0,0
real_gu_in_007,gu_in,real_indicvoices,0.8478923177938278,0.0,0.009999999999999787,3,3,9.851339,9.646604,1,0
real_gu_in_008,gu_in,real_indicvoices,,0.0,0.0,1,1,2.368,2.368,0,0
real_gu_in_009,gu_in,real_indicvoices,0.9912184994120954,0.0,0.004999999999999893,4,4,15.351740000000001,15.337140000000002,0,0
real_pa_in_000,pa_in,real_indicvoices,0.9306582189369939,0.020000000000000018,0.010000000000000009,2,2,5.438305,5.452354,0,0
real_pa_in_001,pa_in,real_indicvoices,0.5292942064939383,0.8100000000000005,0.75,12,10,14.472633,15.055385,0,0
real_pa_in_002,pa_in,real_indicvoices,0.7664282288169174,0.0,0.05500000000000016,14,17,16.161408,14.535698999999996,0,0
real_pa_in_003,pa_in,real_indicvoices,0.15174098961514945,0.0,0.11000000000000032,3,1,5.414439,4.509687,0,0
real_pa_in_004,pa_in,real_indicvoices,0.7370742912109325,0.020000000000000462,0.02999999999999936,3,4,7.353615999999999,7.2535549999999995,0,0
real_pa_in_005,pa_in,real_indicvoices,0.9504050685500623,0.0,0.009999999999999787,7,6,12.856984,12.945833999999998,0,0
real_pa_in_006,pa_in,real_indicvoices,0.8250418584277368,0.0,0.01499999999999968,4,5,8.432578000000001,7.921476000000002,0,0
real_or_in_000,or_in,real_indicvoices,0.530990972997147,0.0,0.06000000000000005,3,6,11.133944,10.492106999999999,0,0
real_or_in_001,or_in,real_indicvoices,0.6830410173992033,0.009999999999999787,0.08999999999999986,3,4,4.022009000000001,3.466317,0,0
real_or_in_002,or_in,real_indicvoices,,0.0,0.0,1,1,1.409,1.409,0,0
real_or_in_003,or_in,real_indicvoices,0.0,0.0,0.0,1,2,1.601,1.374952,0,0
real_or_in_004,or_in,real_indicvoices,,0.0,0.0,1,1,1.12,1.12,0,0
real_or_in_005,or_in,real_indicvoices,,0.0,0.0,1,1,1.121,1.121,0,0
real_or_in_006,or_in,real_indicvoices,0.9120800571837026,0.040000000000000036,0.0050000000000000044,2,2,1.771016,1.6998739999999999,0,0
real_or_in_007,or_in,real_indicvoices,,0.0,0.0,1,1,1.313,1.313,0,0
real_or_in_008,or_in,real_indicvoices,-0.21727395411605893,0.48,0.5899999999999999,2,2,3.882833,2.043281,0,0
real_or_in_009,or_in,real_indicvoices,,0.0,0.0,1,1,1.601,1.601,0,0
real_or_in_011,or_in,real_indicvoices,0.9549644456149591,0.0050000000000001155,0.010000000000000009,2,2,2.4777109999999998,2.450592,0,0
real_or_in_012,or_in,real_indicvoices,,0.0,0.0,1,1,1.422038,1.215,0,0
real_or_in_013,or_in,real_indicvoices,0.7824566197567974,0.009999999999999787,0.16000000000000003,3,3,3.1688110000000003,2.7730530000000004,0,0
real_or_in_014,or_in,real_indicvoices,0.7977564217069771,0.010000000000000231,0.0,3,3,1.8829179999999999,1.538335,0,0
real_or_in_015,or_in,real_indicvoices,,0.0,0.0,1,1,1.216,1.216,0,0
real_or_in_016,or_in,real_indicvoices,,0.0,0.0,1,1,1.312,1.312,0,0
real_or_in_017,or_in,real_indicvoices,,0.0,0.0,1,1,1.121,1.121,0,0
real_or_in_018,or_in,real_indicvoices,,0.0,0.0,1,1,1.215,1.215,0,0
real_or_in_019,or_in,real_indicvoices,0.973777967792504,0.0,0.014999999999999902,4,4,4.616486999999999,4.64056,0,0
real_or_in_020,or_in,real_indicvoices,,0.0,0.0,1,1,1.023,1.023,0,0
real_or_in_021,or_in,real_indicvoices,0.7802917116899227,0.004999999999999893,0.015000000000000013,6,7,7.032014,6.084674000000001,0,0
real_or_in_022,or_in,real_indicvoices,,0.0,0.0,1,1,1.119,1.119,0,0
real_or_in_023,or_in,real_indicvoices,0.9049200736213439,0.0,0.03500000000000003,4,4,3.39445,3.1015569999999997,0,0
real_or_in_024,or_in,real_indicvoices,0.610839456934466,0.0,0.14,3,4,3.3380630000000004,2.676173000000001,0,0
real_as_in_000,as_in,real_indicvoices,0.9919848797731968,0.0,0.009999999999999787,1,1,3.825423,3.835379,0,0
real_as_in_001,as_in,real_indicvoices,0.626792744949516,0.7350000000000004,0.9450000000000001,21,4,5.861109000000001,7.621429000000001,1,0
real_as_in_002,as_in,real_indicvoices,0.581832246657089,0.004999999999999893,0.6400000000000001,5,2,2.6950969999999996,3.122374,0,0
real_as_in_003,as_in,real_indicvoices,0.9496951219512195,0.0,0.01499999999999968,8,8,6.561902999999999,6.915150000000002,1,0
real_as_in_004,as_in,real_indicvoices,-0.0777884155098136,0.0,0.1299999999999999,1,2,2.238552,2.1113120000000003,0,0
real_as_in_005,as_in,real_indicvoices,0.9300313200372289,0.019999999999999574,0.02000000000000135,5,5,11.401183,11.091615999999998,0,0
real_as_in_006,as_in,real_indicvoices,0.9237187257168477,0.0,0.009999999999999787,6,5,8.444259,8.870726,0,0
real_as_in_007,as_in,real_indicvoices,0.9911290838181703,0.0,0.0,3,3,4.7954799999999995,4.774919999999999,0,0
real_as_in_008,as_in,real_indicvoices,0.039999192343415535,0.0,0.5100000000000002,1,6,1.944,6.160076999999999,0,0
real_ne_np_000,ne_np,real_indicvoices,0.9511212649552095,0.004999999999999893,0.040000000000000036,2,2,4.2908859999999995,4.200864,0,0
real_ne_np_001,ne_np,real_indicvoices,0.8058383832169557,0.009999999999999787,0.009999999999999787,6,5,9.033411,9.159429,1,0
real_ne_np_002,ne_np,real_indicvoices,0.803208703180094,0.0,0.08000000000000007,7,5,17.570440000000005,17.918973,0,0
real_ne_np_003,ne_np,real_indicvoices,0.9936288998357964,0.004999999999999893,0.0,2,2,4.92565,4.885001000000001,0,0
real_ne_np_004,ne_np,real_indicvoices,0.9678952892510958,0.009999999999999787,0.009999999999999787,3,3,4.849606000000001,4.777917,0,0
real_ne_np_006,ne_np,real_indicvoices,0.0,0.0,0.15999999999999992,3,1,3.135672,1.311,0,0
