session_id,lang,family,n_consonants,aspirate_density,breathy_density,retroflex_density,geminate_density
hi_in_s000,hi_in,Indo-Aryan,739.0,0.035182679296346414,0.02706359945872801,0.044654939106901215,0.0
hi_in_s001,hi_in,Indo-Aryan,1100.0,0.02727272727272727,0.02181818181818182,0.06545454545454546,0.0
hi_in_s002,hi_in,Indo-Aryan,1044.0,0.034482758620689655,0.02681992337164751,0.05363984674329502,0.0
hi_in_s003,hi_in,Indo-Aryan,800.0,0.0375,0.025,0.05,0.0
hi_in_s004,hi_in,Indo-Aryan,823.0,0.040097205346294046,0.02916160388821385,0.040097205346294046,0.0
hi_in_s005,hi_in,Indo-Aryan,1001.0,0.027972027972027972,0.023976023976023976,0.03296703296703297,0.0
hi_in_s006,hi_in,Indo-Aryan,795.0,0.031446540880503145,0.02012578616352201,0.042767295597484274,0.0
hi_in_s007,hi_in,Indo-Aryan,886.0,0.03611738148984198,0.01580135440180587,0.040632054176072234,0.0
hi_in_s008,hi_in,Indo-Aryan,879.0,0.03640500568828214,0.027303754266211604,0.05233219567690557,0.0
hi_in_s009,hi_in,Indo-Aryan,1022.0,0.033268101761252444,0.02446183953033268,0.04794520547945205,0.0
hi_in_s010,hi_in,Indo-Aryan,1059.0,0.03493862134088763,0.02077431539187913,0.04343720491029273,0.0
hi_in_s011,hi_in,Indo-Aryan,943.0,0.03923647932131495,0.027571580063626724,0.036055143160127257,0.0
hi_in_s012,hi_in,Indo-Aryan,807.0,0.042131350681536554,0.01734820322180917,0.061957868649318466,0.0
hi_in_s013,hi_in,Indo-Aryan,1165.0,0.034334763948497854,0.0240343347639485,0.045493562231759654,0.0
hi_in_s014,hi_in,Indo-Aryan,793.0,0.02395964691046658,0.02269861286254729,0.03909205548549811,0.0
hi_in_s015,hi_in,Indo-Aryan,1203.0,0.029093931837073983,0.022443890274314215,0.05320033250207814,0.0
hi_in_s016,hi_in,Indo-Aryan,1079.0,0.04911955514365153,0.024096385542168676,0.04541241890639481,0.0
hi_in_s017,hi_in,Indo-Aryan,904.0,0.04092920353982301,0.018805309734513276,0.051991150442477874,0.0
hi_in_s018,hi_in,Indo-Aryan,1139.0,0.03424056189640035,0.0324846356453029,0.05267778753292362,0.0
hi_in_s019,hi_in,Indo-Aryan,915.0,0.03825136612021858,0.024043715846994537,0.048087431693989074,0.0
bn_in_s000,bn_in,Indo-Aryan,1279.0,0.0437842064112588,0.03440187646598905,0.06489444878811572,0.0
bn_in_s001,bn_in,Indo-Aryan,1259.0,0.059571088165210485,0.04289118347895155,0.07466243050039714,0.0
bn_in_s002,bn_in,Indo-Aryan,945.0,0.05396825396825397,0.033862433862433865,0.06455026455026455,0.0
bn_in_s003,bn_in,Indo-Aryan,1300.0,0.03769230769230769,0.04,0.06230769230769231,0.0
bn_in_s004,bn_in,Indo-Aryan,1022.0,0.04892367906066536,0.0410958904109589,0.06164383561643835,0.0
bn_in_s005,bn_in,Indo-Aryan,1012.0,0.045454545454545456,0.030632411067193676,0.05928853754940711,0.0
bn_in_s006,bn_in,Indo-Aryan,1057.0,0.0510879848628193,0.023651844843897825,0.06811731315042574,0.0
bn_in_s007,bn_in,Indo-Aryan,1253.0,0.0670391061452514,0.041500399042298484,0.052673583399840386,0.0
bn_in_s008,bn_in,Indo-Aryan,1371.0,0.046681254558716266,0.032093362509117436,0.06929248723559446,0.0
bn_in_s009,bn_in,Indo-Aryan,1210.0,0.03966942148760331,0.024793388429752067,0.07107438016528926,0.0
bn_in_s010,bn_in,Indo-Aryan,1208.0,0.05132450331125828,0.033112582781456956,0.07119205298013245,0.0
bn_in_s011,bn_in,Indo-Aryan,1207.0,0.041425020712510356,0.026512013256006627,0.06628003314001657,0.0
bn_in_s012,bn_in,Indo-Aryan,1070.0,0.059813084112149535,0.028037383177570093,0.08504672897196262,0.0
bn_in_s013,bn_in,Indo-Aryan,1328.0,0.05271084337349398,0.03463855421686747,0.07228915662650602,0.0
bn_in_s014,bn_in,Indo-Aryan,956.0,0.06589958158995816,0.03556485355648536,0.06903765690376569,0.0
bn_in_s015,bn_in,Indo-Aryan,1082.0,0.04251386321626617,0.03234750462107209,0.06284658040665435,0.0
bn_in_s016,bn_in,Indo-Aryan,1124.0,0.05782918149466192,0.03291814946619217,0.07562277580071175,0.0
bn_in_s017,bn_in,Indo-Aryan,1060.0,0.04622641509433962,0.02358490566037736,0.06320754716981132,0.0
bn_in_s018,bn_in,Indo-Aryan,1168.0,0.05136986301369863,0.03339041095890411,0.07106164383561644,0.0
bn_in_s019,bn_in,Indo-Aryan,1191.0,0.054575986565911,0.03946263643996641,0.07556675062972293,0.0
mr_in_s000,mr_in,Indo-Aryan,1411.0,0.041814316087880936,0.027639971651311126,0.09142452161587526,0.0
mr_in_s001,mr_in,Indo-Aryan,1020.0,0.03333333333333333,0.03431372549019608,0.09117647058823529,0.0
mr_in_s002,mr_in,Indo-Aryan,811.0,0.04315659679408138,0.02096177558569667,0.07398273736128237,0.0
mr_in_s003,mr_in,Indo-Aryan,942.0,0.03927813163481953,0.027600849256900213,0.0870488322717622,0.0
mr_in_s004,mr_in,Indo-Aryan,1144.0,0.045454545454545456,0.024475524475524476,0.09090909090909091,0.0
mr_in_s005,mr_in,Indo-Aryan,724.0,0.03591160220994475,0.03038674033149171,0.08287292817679558,0.0
mr_in_s006,mr_in,Indo-Aryan,1274.0,0.02511773940345369,0.03296703296703297,0.08869701726844584,0.0
mr_in_s007,mr_in,Indo-Aryan,1182.0,0.03553299492385787,0.02707275803722504,0.10067681895093063,0.0
mr_in_s008,mr_in,Indo-Aryan,1158.0,0.025043177892918825,0.03454231433506045,0.09758203799654577,0.0
mr_in_s009,mr_in,Indo-Aryan,1255.0,0.03346613545816733,0.027091633466135457,0.07808764940239044,0.0
mr_in_s010,mr_in,Indo-Aryan,1100.0,0.03727272727272727,0.031818181818181815,0.09545454545454546,0.0
mr_in_s011,mr_in,Indo-Aryan,1133.0,0.03971756398940865,0.02206531332744925,0.09885260370697264,0.0
mr_in_s012,mr_in,Indo-Aryan,966.0,0.028985507246376812,0.041407867494824016,0.09213250517598344,0.0
mr_in_s013,mr_in,Indo-Aryan,1522.0,0.04204993429697766,0.03876478318002628,0.1011826544021025,0.0
mr_in_s014,mr_in,Indo-Aryan,1304.0,0.032975460122699383,0.03067484662576687,0.09432515337423313,0.0
mr_in_s015,mr_in,Indo-Aryan,988.0,0.025303643724696356,0.02631578947368421,0.0860323886639676,0.0
mr_in_s016,mr_in,Indo-Aryan,960.0,0.040625,0.035416666666666666,0.09479166666666666,0.0
mr_in_s017,mr_in,Indo-Aryan,1355.0,0.04059040590405904,0.035424354243542434,0.0907749077490775,0.0
mr_in_s018,mr_in,Indo-Aryan,1145.0,0.027074235807860263,0.034934497816593885,0.08384279475982533,0.0
mr_in_s019,mr_in,Indo-Aryan,869.0,0.04487917146144994,0.02761795166858458,0.09090909090909091,0.0
gu_in_s000,gu_in,Indo-Aryan,1106.0,0.0650994575045208,0.028933092224231464,0.08227848101265822,0.0
gu_in_s001,gu_in,Indo-Aryan,930.0,0.05053763440860215,0.02258064516129032,0.08172043010752689,0.0
gu_in_s002,gu_in,Indo-Aryan,710.0,0.06056338028169014,0.02535211267605634,0.07323943661971831,0.0
gu_in_s003,gu_in,Indo-Aryan,1033.0,0.05033881897386254,0.028073572120038724,0.05517909002904162,0.0
gu_in_s004,gu_in,Indo-Aryan,1089.0,0.06611570247933884,0.027548209366391185,0.06152433425160698,0.0
gu_in_s005,gu_in,Indo-Aryan,1140.0,0.05964912280701754,0.02982456140350877,0.07368421052631578,0.0
gu_in_s006,gu_in,Indo-Aryan,1153.0,0.05030355594102342,0.033824804856895055,0.05464006938421509,0.0
gu_in_s007,gu_in,Indo-Aryan,834.0,0.05755395683453238,0.02158273381294964,0.06115107913669065,0.0
gu_in_s008,gu_in,Indo-Aryan,1554.0,0.05276705276705277,0.02445302445302445,0.07142857142857142,0.0
gu_in_s009,gu_in,Indo-Aryan,1407.0,0.0433546552949538,0.02771855010660981,0.052594171997157074,0.0021321961620469083
gu_in_s010,gu_in,Indo-Aryan,974.0,0.055441478439425054,0.023613963039014373,0.07700205338809035,0.0
gu_in_s011,gu_in,Indo-Aryan,854.0,0.06323185011709602,0.02810304449648712,0.07845433255269321,0.0
gu_in_s012,gu_in,Indo-Aryan,963.0,0.06230529595015576,0.03426791277258567,0.06542056074766354,0.0
gu_in_s013,gu_in,Indo-Aryan,1163.0,0.05674978503869303,0.03353396388650043,0.06534823731728288,0.0
gu_in_s014,gu_in,Indo-Aryan,1014.0,0.06903353057199212,0.027613412228796843,0.06804733727810651,0.0
gu_in_s015,gu_in,Indo-Aryan,1061.0,0.06974552309142319,0.03298774740810556,0.08011310084825636,0.0
gu_in_s016,gu_in,Indo-Aryan,979.0,0.05515832482124617,0.0296220633299285,0.05822267620020429,0.0
gu_in_s017,gu_in,Indo-Aryan,1034.0,0.06769825918762089,0.030947775628626693,0.08413926499032882,0.0
gu_in_s018,gu_in,Indo-Aryan,1042.0,0.05182341650671785,0.02495201535508637,0.07581573896353166,0.0
gu_in_s019,gu_in,Indo-Aryan,1143.0,0.0542432195975503,0.02537182852143482,0.05511811023622047,0.0
pa_in_s000,pa_in,Indo-Aryan,804.0,0.03980099502487562,0.029850746268656716,0.046019900497512436,0.0
pa_in_s001,pa_in,Indo-Aryan,960.0,0.03854166666666667,0.019791666666666666,0.03958333333333333,0.0
pa_in_s002,pa_in,Indo-Aryan,840.0,0.02976190476190476,0.02738095238095238,0.05952380952380952,0.0
pa_in_s003,pa_in,Indo-Aryan,1038.0,0.03275529865125241,0.025048169556840076,0.055876685934489405,0.0
pa_in_s004,pa_in,Indo-Aryan,919.0,0.03482045701849837,0.01632208922742111,0.04352557127312296,0.0
pa_in_s005,pa_in,Indo-Aryan,887.0,0.046223224351747465,0.015783540022547914,0.04735062006764374,0.0
pa_in_s006,pa_in,Indo-Aryan,924.0,0.03896103896103896,0.027056277056277056,0.049783549783549784,0.0
pa_in_s007,pa_in,Indo-Aryan,836.0,0.034688995215311005,0.019138755980861243,0.05382775119617225,0.0
pa_in_s008,pa_in,Indo-Aryan,1003.0,0.03788634097706879,0.01694915254237288,0.05284147557328016,0.0
pa_in_s009,pa_in,Indo-Aryan,716.0,0.02653631284916201,0.023743016759776536,0.055865921787709494,0.0
pa_in_s010,pa_in,Indo-Aryan,889.0,0.03712035995500562,0.020247469066366704,0.031496062992125984,0.0
pa_in_s011,pa_in,Indo-Aryan,836.0,0.029904306220095694,0.02751196172248804,0.05263157894736842,0.0
pa_in_s012,pa_in,Indo-Aryan,956.0,0.04184100418410042,0.02405857740585774,0.060669456066945605,0.0
pa_in_s013,pa_in,Indo-Aryan,1205.0,0.025726141078838173,0.017427385892116183,0.05560165975103734,0.0
pa_in_s014,pa_in,Indo-Aryan,735.0,0.04081632653061224,0.02857142857142857,0.053061224489795916,0.0
pa_in_s015,pa_in,Indo-Aryan,938.0,0.028784648187633263,0.02771855010660981,0.04797441364605544,0.0
pa_in_s016,pa_in,Indo-Aryan,755.0,0.03576158940397351,0.025165562913907286,0.060927152317880796,0.0
pa_in_s017,pa_in,Indo-Aryan,925.0,0.034594594594594595,0.025945945945945945,0.05405405405405406,0.0
pa_in_s018,pa_in,Indo-Aryan,877.0,0.0330672748004561,0.021664766248574687,0.043329532497149374,0.0
pa_in_s019,pa_in,Indo-Aryan,781.0,0.034571062740076826,0.034571062740076826,0.04865556978233035,0.0
or_in_s000,or_in,Indo-Aryan,844.0,0.058056872037914695,0.031990521327014215,0.06990521327014218,0.0
or_in_s001,or_in,Indo-Aryan,835.0,0.05029940119760479,0.0407185628742515,0.09101796407185629,0.0
or_in_s002,or_in,Indo-Aryan,1037.0,0.04725168756027001,0.03278688524590164,0.08775313404050145,0.0
