system,target,predictor,controls_language,coef,se,t,p_value,model_r2,vif,collinearity_warning,n_distinct_density_profiles,n_languages,n,p_value_bh
energy,offset_mad_s,breathy_density,False,0.008956461204326074,0.0012121046790318911,7.38918128051416,1.6142642778049776e-13,0.012072631192324157,2.565574095755205,False,240,12,8640,
energy,offset_mad_s,aspirate_density,False,-0.0050768576128354176,0.0012322924415929188,-4.119848050250827,3.826616196822563e-05,0.012072631192324157,2.651745715846687,False,240,12,8640,
energy,offset_mad_s,retroflex_density,False,0.005579810234164887,0.0007947636624796603,7.020716343215662,2.3743229604633598e-12,0.012072631192324157,1.1030121881687547,False,240,12,8640,
energy,offset_mad_s,geminate_density,False,-0.0014316271857741088,0.0007594334218881173,-1.885125337537517,0.059446465302298135,0.012072631192324157,1.0071257930935693,False,240,12,8640,
ltsd,offset_mad_s,breathy_density,False,-0.017615357439378237,0.0020156671031052076,-8.739219592481886,0.0,0.01790377262592202,2.565574095755205,False,240,12,8640,
ltsd,offset_mad_s,aspirate_density,False,0.0018247781855720872,0.0020492383033352594,0.8904665614546392,0.373240224409078,0.01790377262592202,2.651745715846687,False,240,12,8640,
ltsd,offset_mad_s,retroflex_density,False,-0.004233035983651707,0.0013216506766421884,-3.202840250047192,0.0013657323134856902,0.01790377262592202,1.1030121881687547,False,240,12,8640,
ltsd,offset_mad_s,geminate_density,False,-0.0003122963605185149,0.00126289832221514,-0.24728543464270586,0.8046932093518433,0.01790377262592202,1.0071257930935693,False,240,12,8640,
silero,offset_mad_s,breathy_density,False,-0.001188655752460158,0.003977541470061714,-0.29884182513418656,0.7650681643738664,0.00018514563418836616,2.546317315022366,False,240,12,8365,
silero,offset_mad_s,aspirate_density,False,0.0025722638908405315,0.004043595381424654,0.6361328590533365,0.5247072446409513,0.00018514563418836616,2.6315914958294764,False,240,12,8365,
silero,offset_mad_s,retroflex_density,False,-0.0020060781297412057,0.0026177089217813837,-0.7663488148162954,0.4434904180352255,0.00018514563418836616,1.1028737423401127,False,240,12,8365,
silero,offset_mad_s,geminate_density,False,0.000885750341428739,0.002501843202039643,0.3540391103273881,0.7233185018245409,0.00018514563418836616,1.0074030606810855,False,240,12,8365,
webrtc,offset_mad_s,breathy_density,False,-0.00019477270011581036,0.00305999777795255,-0.06365125540912422,0.9492494141935623,0.01634028756203776,2.55855378565133,False,240,12,8511,
webrtc,offset_mad_s,aspirate_density,False,-0.014561358687228942,0.0031117776100059117,-4.679434237333329,2.921122451260416e-06,0.01634028756203776,2.645875665905198,False,240,12,8511,
webrtc,offset_mad_s,retroflex_density,False,-0.022341501933923993,0.002011285544227028,-11.108070655631458,0.0,0.01634028756203776,1.1053499432039384,False,240,12,8511,
webrtc,offset_mad_s,geminate_density,False,0.0020521765600759784,0.0019198817348291689,1.0689077992913876,0.28514154991933394,0.01634028756203776,1.0071665246741726,False,240,12,8511,
